,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_00005,0,1,10,18,15,11,6,2,0,0,2,4,20,8,10,13,0,4,0,2,10,3,7,1
MGG_00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00015,0,5,10,0,26,46,9,14,0,3,4,3,6,9,96,15,0,2,16,12,19,41,159,69
MGG_00016,0,2,12,0,108,106,21,26,0,1,0,3,49,12,161,39,0,2,6,8,104,170,307,225
MGG_00017,0,0,6,0,8,5,1,13,0,0,8,2,2,20,106,6,0,0,24,28,1,70,220,76
MGG_00018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,2,45,27
MGG_00019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,9
MGG_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MGG_00021,0,1,6,30,20,5,4,2,0,0,2,15,13,0,7,1,0,0,8,15,6,1,6,1
MGG_00022,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0
MGG_00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MGG_00026,0,0,2,6,4,0,0,1,0,0,1,1,4,0,0,0,0,0,1,0,0,1,0,1
MGG_00031,0,0,0,0,6,0,1,8,0,0,0,0,1,5,11,2,0,0,0,0,1,0,18,4
MGG_00032,0,5,6,9,15,23,12,4,0,3,0,6,12,5,14,5,0,3,0,0,12,3,7,3
MGG_00033,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MGG_00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00039,0,5,6,15,308,140,61,28,0,4,10,4,172,31,113,41,0,5,11,9,135,50,58,65
MGG_00040,0,21,15,12,173,39,33,109,0,6,19,21,195,756,1353,87,0,2,94,44,324,772,1590,1167
MGG_00041,0,22,23,47,107,81,33,8,0,11,3,15,62,13,86,31,0,8,3,7,63,46,50,72
MGG_00042,0,0,0,0,138,103,70,30,0,0,0,0,17,13,39,10,0,0,0,1,16,8,20,12
MGG_00043,0,0,0,157,7,3,2,0,0,0,0,35,21,1,0,0,0,0,0,21,5,1,6,4
MGG_00045,0,7,11,36,1003,610,256,129,0,2,2,8,277,96,308,140,0,1,6,9,165,80,288,267
MGG_00046,0,3,0,1,172,70,33,22,0,1,0,0,25,12,91,17,0,0,0,1,25,10,26,18
MGG_00047,0,901,36,400,1408,486,323,60,0,227,4,41,1293,265,778,846,0,472,27,92,365,124,305,64
MGG_00048,0,4,11,49,82,80,53,29,0,6,5,16,117,11,40,34,0,2,10,14,48,15,30,13
MGG_00049,0,142,63,141,321,378,266,59,1,63,52,50,156,55,154,143,0,50,49,45,166,63,120,85
MGG_00050,0,41,31,17,106,54,13,15,0,9,8,9,49,31,124,21,0,15,14,14,43,8,60,38
MGG_00052,0,48,46,7,22,32,33,23,0,28,23,20,91,111,80,24,0,17,63,26,51,15,121,63
MGG_00053,1,102,82,90,164,126,74,57,0,54,65,50,198,194,252,67,0,38,27,30,147,52,84,63
MGG_00054,0,6,19,8,21,25,13,7,0,17,9,11,44,1,12,1,0,6,13,7,27,7,11,7
MGG_00056,0,20,7,18,37,38,15,2,0,11,8,9,16,2,34,11,0,6,5,4,12,2,9,12
MGG_00057,0,7,7,5,14,29,28,6,0,15,3,2,3,1,5,6,0,6,9,5,2,4,3,11
MGG_00058,0,22,19,14,64,123,68,14,0,22,11,11,27,39,35,33,0,9,7,4,18,13,52,28
MGG_00059,0,1,6,8,4,2,1,0,0,0,4,2,0,2,3,2,0,0,5,1,0,1,1,3
MGG_00061,0,13,3,4,9,15,10,2,0,4,4,1,2,1,8,10,0,1,1,5,3,6,5,4
MGG_00062,1,325,97,119,295,300,179,65,1,139,76,57,164,79,154,107,0,149,30,40,131,75,107,87
MGG_00063,0,721,193,127,458,435,255,146,1,399,124,96,369,327,1079,195,0,336,106,125,388,372,590,892
MGG_00065,0,176,88,171,841,522,247,99,0,46,92,121,362,394,746,203,0,45,106,88,430,265,326,245
MGG_00066,0,3,1,0,5,4,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,4,3,8
MGG_00067,0,218,63,93,215,138,96,75,0,134,27,46,200,296,591,70,0,104,35,40,208,197,394,334
MGG_00068,0,26,6,14,47,76,29,25,0,10,6,5,38,35,45,40,0,8,4,3,21,27,51,50
MGG_00070,0,5,3,2,61,26,14,79,0,0,1,0,9,47,128,49,0,1,2,7,26,45,86,45
MGG_00071,0,0,0,0,7,39,23,24,0,1,0,0,0,2,18,1,0,0,2,0,0,3,36,26
MGG_00072,0,0,534,62,0,0,1,0,1,2,138,190,0,0,0,1,0,1,162,118,0,0,0,0
MGG_00073,1,78,10,59,79,93,46,34,0,19,26,24,76,99,216,49,0,24,43,15,56,68,80,58
MGG_00074,0,8,6,4,3,12,5,3,0,1,0,0,2,1,4,3,0,2,2,2,0,0,2,1
MGG_00075,0,53,66,63,89,209,114,27,0,40,27,28,66,27,101,50,0,30,21,34,58,62,97,53
MGG_00076,0,146,48,64,108,95,65,18,1,66,26,43,46,48,99,38,0,61,31,32,64,40,50,50
MGG_00077,0,198,30,18,16,9,6,4,0,132,13,8,11,9,19,4,0,129,10,13,14,11,14,2
MGG_00078,0,35,2,2,3,6,7,1,0,22,1,2,5,0,8,1,0,11,2,5,1,8,6,7
