ge,t0,t8,t16,t24,t48,t72,t96,t144
MGG_14053,0,0,0,0,0,0.666666667,7,9
MGG_16475,0,0,0,16.33333333,0,0,0.333333333,0
MGG_15908,0,0,0,4,5,2,4.333333333,2
MGG_06234,0,0,0.333333333,0.333333333,1.666666667,1.666666667,4,10
MGG_07804,0,0,0,3.666666667,7.666666667,1.666666667,5,1.666666667
MGG_07811,0,0,0,1,16.33333333,0.666666667,1.666666667,0
MGG_08433,0,0,0,13.33333333,3.333333333,0.333333333,2.333333333,0.333333333
MGG_10796,0,0.666666667,14,5.333333333,0,0,0,0.333333333
MGG_16737,0,0,1.666666667,17,0.333333333,1,0.333333333,0
MGG_03507,0,4.333333333,1,2.666666667,0.666666667,7.333333333,3,1.666666667
MGG_08399,0,0,0,3,5,4,6.333333333,2.333333333
MGG_16989,0,10.66666667,0.333333333,3.333333333,5,0.333333333,1,0
MGG_00816,0,3,0.333333333,1.333333333,3.666666667,7,6,0.333333333
MGG_14834,0,0,0,8.333333333,12.33333333,0,0.333333333,1
MGG_12090,0,3.333333333,0.333333333,2,0.333333333,3.666666667,8.666666667,4
MGG_15458,0,0,1,8.666666667,3,2,3.666666667,4
MGG_06523,0,1.666666667,3,4.333333333,3.333333333,4.333333333,4.333333333,1.666666667
MGG_08191,0,1,0.666666667,2,4.666666667,6.666666667,5,2.666666667
MGG_10531,0,0,0.666666667,12.66666667,0.666666667,2.333333333,6,0.666666667
MGG_02202,0,0,0,15.66666667,3.666666667,0.333333333,2,1.666666667
MGG_16188,0,0,1,1,10,3.333333333,6.333333333,1.666666667
MGG_16327,0,1.333333333,0,7.333333333,11.33333333,0.666666667,1.666666667,1
MGG_17240,0,0,0,14.66666667,2.333333333,1,3.333333333,2
MGG_00565,0,1.666666667,0,0,5,8,8,1
MGG_09569,0,0.666666667,0.333333333,1.666666667,3,5.333333333,7.666666667,5
MGG_13868,0,0,0,4.333333333,6.333333333,3.333333333,9,0.666666667
MGG_16137,0,4,1.333333333,4.666666667,1.666666667,6.333333333,5,0.666666667
MGG_08414,0,0,0,7,11.33333333,1.333333333,2.333333333,2
MGG_16422,0,6,2,3.333333333,3,4,4.333333333,1.333333333
MGG_05764,0,3,3,0.333333333,2,6,9,1.333333333
MGG_16703,0,0,2.333333333,10.66666667,2.666666667,5,3.333333333,1.333333333
MGG_14006,0,0,3,2.666666667,13.66666667,5,1,0.333333333
MGG_04735,0,0,0,11.33333333,9,1.666666667,2.333333333,1.666666667
MGG_08407,0,0,0,1.666666667,12.33333333,2,4.666666667,5.333333333
MGG_12690,0,0.333333333,0,7.666666667,6,2.666666667,6,3.333333333
MGG_15391,0,0.333333333,0,14.66666667,8.333333333,0.333333333,1,1.333333333
MGG_03495,0,0.666666667,2.333333333,10.66666667,3.333333333,1.666666667,5,3.333333333
MGG_15689,0,0,0.666666667,1.666666667,7.666666667,8,7.333333333,2
MGG_15459,0,0,0,6.666666667,15.33333333,1.333333333,3,1.666666667
MGG_04354,0,1,0,0,0,5.666666667,16,5.666666667
MGG_05875,0,0,0.666666667,0.333333333,4.333333333,14,6,3.333333333
MGG_17426,0,2.666666667,2.333333333,4.666666667,3,5.666666667,5,5.333333333
MGG_02106,0,0.333333333,3,0.333333333,5,10,6.666666667,4.666666667
MGG_08406,0,25.33333333,2,1.333333333,1,0.666666667,0,0
MGG_16041,0,0.333333333,3.333333333,26,0.333333333,0,0,0.333333333
MGG_16840,0,2,3,1.333333333,1,11,8.333333333,3.666666667
MGG_05831,0,0.333333333,0,1.333333333,22.33333333,3,4,0.333333333
MGG_16378,0,0,0,16.33333333,7.666666667,2.333333333,3.666666667,1.333333333
MGG_04451,0.333333333,0,0,10.66666667,15.66666667,1,2.333333333,2
MGG_10244,0,0,0,0,0,29.33333333,3,0
MGG_00486,0,1,1.666666667,1.333333333,5,12.66666667,9.333333333,2.333333333
MGG_02207,0,0.333333333,0,5.666666667,24,1.666666667,1,0.666666667
MGG_17582,0,0,0.666666667,1.333333333,7,8.333333333,7.666666667,8.666666667
