Gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_03806,0,0,0,0,0.274645644,0,0.726704202,0
MGG_17027,0,0,0,1.074762472,0,0,0,0
MGG_17587,0,0,0,1.074762472,0,0,0,0
MGG_17544,0,0,0,0,0,0.656124596,0,0.421306903
MGG_17431,0,0,0,0,0,0,1.091544148,0
MGG_15703,0,0,0,0,0.228178311,0.656124596,0,0.219116422
MGG_17902,0,0,0,0,0,0.567432613,0.542796384,0
MGG_15708,0,0,0,0,0,0.567432613,0.561759719,0
MGG_17799,0,0,0,1.184622129,0,0,0,0
MGG_17463,0,0,0,0,0.224257738,0.328062298,0.099947731,0.567438089
MGG_10781,0,0,0,1.278997156,0,0,0,0
MGG_15106,0,0,0,0.639498578,0.672773215,0,0,0
MGG_15746,0,0.378632062,0,0,0.731002267,0.210211994,0,0
MGG_07558,0,0,0,0,1.052115244,0,0.299843194,0
MGG_16529,0,0.378632062,0,0.639498578,0.274645644,0,0.099947731,0
MGG_16345,0,0,1.030541673,0,0.498903382,0,0,0
MGG_17387,0,0.378632062,0,0.639498578,0.228178311,0.328062298,0,0
MGG_09425,0,1.593595376,0,0,0,0,0,0
MGG_00821,0,0,0,0.639498578,0.498903382,0.328062298,0.280879859,0
MGG_02645,0,0.378632062,0,0,0.224257738,0.538274292,0.361864256,0.567438089
MGG_11620,0,0,1.030541673,0,0.456356623,0.656124596,0.099947731,0
MGG_04301,0,0,0,1.184622129,0.723161121,0,0.361864256,0
MGG_02989,0,0,0,0,0.904872099,0.328062298,0.645719806,0.421306903
MGG_15575,0,0,1.030541673,0,0.274645644,0,1.091544148,0
MGG_06231,0,0,0,1.278997156,1.17559717,0,0,0
MGG_08469,0,0,0,0.639498578,0.228178311,0,0.545772074,1.061730228
MGG_14344,0,0,0,0,2.119095456,0,0.361864256,0
MGG_00732,0,0,0,0,0.684534934,0.210211994,1.188516189,0.421306903
MGG_17580,0,0,0.628037531,1.278997156,0.549291288,0.210211994,0,0
MGG_17464,0,0,0,0,0.908792673,1.312249192,0.545772074,0
MGG_16113,0,0,0.628037531,1.184622129,0.448515476,0,0.099947731,0.421306903
MGG_01411,0,0.378632062,0,1.184622129,0,0.328062298,0,0.988744992
MGG_17015,0,0,0,0,0.498903382,1.551619507,0.645719806,0.219116422
MGG_18020,0,0,0,1.824120706,1.121288691,0,0,0
MGG_04573,0,1.135896187,0,1.184622129,0,0,0.545772074,0.219116422
MGG_17248,0,0,1.030541673,1.184622129,0.676693788,0.210211994,0,0
MGG_17355,0,0,0,3.334147072,0,0,0,0
