X,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_00005,0,1.213650881,19.9390759,30.48331607,12.01942374,9.885110062,9.264467976,3.151924818,0,0,7.161040035,13.27098326,15.98310371,4.097393411,3.222150978,18.3921446,0,13.87003188,0,6.622017236,10.23155015,3.029728197,3.140184435,0.724919505
MGG_00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00015,0,5.583234979,18.34539863,0,19.16848819,38.033718,12.78597556,20.29999899,0,7.226557265,13.17735432,9.157701661,4.411685028,4.241137118,28.46028504,19.52551088,0,6.380718572,40.81466901,36.55642213,17.88616219,38.09679116,65.62606544,46.02152462
MGG_00016,0,1.414762189,13.94588071,0,50.44008571,55.52062706,18.89940806,23.8824499,0,1.525976131,0,5.801282813,22.82374335,3.582272318,30.23649422,32.15979715,0,4.042100776,9.695832259,15.4386731,62.02038384,100.0670297,80.2703516,95.06747876
MGG_00017,0,0,3.491492462,0,1.870842408,1.311335022,0.450634114,5.979213186,0,0,8.359704472,1.936546534,0.466461655,2.989527172,9.967966803,2.477394121,0,0,19.41959835,27.05659707,0.298604445,20.6317129,28.80279471,16.07896941
MGG_00018,0,0,0,0,0,1.091085224,0,0,0,0,0,0,0,0,2.738506503,0.572581901,0,0,0,0,0,0.817449637,8.169927941,7.921403664
MGG_00019,0,0,0,0,0,0,3.172720101,0,0,0,0,0,0,0,1.986230593,0,0,0,0,0,0,0,6.452346516,13.40586435
MGG_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501577867,0
MGG_00021,0,0.870083753,8.576765983,36.42321205,11.48919674,3.221262463,4.427886794,2.259660185,0,0,5.133852481,35.67809458,7.448035835,0,1.617004429,1.014276361,0,0,15.9012564,35.60564469,4.401087176,0.724018557,1.929637144,0.519705207
MGG_00022,0,0,0,0,0,0,0.12817758,0,0,0,0,0,0.265359077,0,0,0,0,0,0,0,0,0.083834977,0.037239166,0
MGG_00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428188605
MGG_00026,0,0,2.505990557,6.385359631,2.014173076,0,0,0.990353549,0,0,2.250041425,2.084910986,2.008794548,0,0,0,0,0,1.742282513,0,0,0.634639095,0,0.455548051
MGG_00031,0,0,0,0,1.83506801,0,0.58935607,4.812207748,0,0,0,0,0.305027959,0.977453732,1.352842063,1.080009419,0,0,0,0,0.39052601,0,3.082039131,1.106772356
MGG_00032,0,3.010353434,5.934853249,7.561116351,5.962623039,10.25345825,9.19187665,3.127228052,0,3.896395469,0,9.875249293,4.757360643,1.270402646,2.23783277,3.509237264,0,5.160507699,0,0,6.090828775,1.502994448,1.55778983,1.078859145
MGG_00033,0,0,0,0,1.254577666,0.468999883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533980438,0,0.234121354,0.378332539
MGG_00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00039,0,2.047000237,4.035621157,8.569097341,83.25248715,42.43956979,31.77263124,14.88531394,0,3.532662692,12.07814445,4.476691987,46.36750012,5.355912642,12.28226441,19.56712369,0,5.848460829,10.28776341,10.05210309,46.59392742,17.03360342,8.776861057,15.89488005
MGG_00040,0,8.470470864,9.94010034,6.754068062,46.07156585,11.64790752,16.93470582,57.09089283,0,5.220760859,22.60966823,23.15564524,51.79170588,128.6867865,144.8899176,40.90748274,0,2.304846177,86.61567738,48.4180696,110.1744599,259.1159799,237.0547836,281.1610288
MGG_00041,0,19.67085348,33.78622033,58.64004692,63.16593252,53.62664039,37.53962424,9.288435901,0,21.21717213,7.913600242,36.66410738,36.50308405,4.905324894,20.41507992,32.31152543,0,20.43686152,6.127765988,17.07517244,47.48853082,34.22527867,16.52471082,38.45289381
MGG_00042,0,0,0,0,54.90991248,45.9626782,53.67184838,23.47720471,0,0,0,0,6.746201689,3.306285162,6.240074446,7.025355386,0,0,0,1.644143005,8.129066901,4.011914593,4.455191642,4.319667401
MGG_00043,0,0,0,551.9236192,11.64340625,5.596283435,6.410454959,0,0,0,0,241.046471,34.83694315,1.063181231,0,0,0,0,0,144.3341933,10.61942654,2.096389797,5.587248535,6.019208673
MGG_00045,0,3.73524236,9.643277899,26.80520762,353.3623633,241.0158641,173.7945567,89.38456586,0,2.302210518,3.148495467,11.6697101,97.32801396,21.61801836,43.6338539,87.08513447,0,1.524559711,7.3139568,13.10176457,74.22536672,35.52216046,56.80369343,85.09969762
MGG_00046,0,1.216854183,0,0.565995806,46.06216461,21.02375917,17.02968767,11.58756128,0,0.875007099,0,0,6.677203916,2.054104021,9.799655019,8.038248921,0,0,0,1.106582557,8.548796023,3.375249822,3.898108952,4.360997112
MGG_00047,0,2260.642728,148.3955551,1400.435337,2332.428864,902.8975167,1031.062809,195.4836637,0,1228.647468,29.60870839,281.2161977,2136.205417,280.5930547,518.2494482,2474.416192,0,3383.551818,154.7573553,629.7403248,772.0539814,258.8913049,282.8592081,95.91424759
MGG_00048,0,2.263098652,10.22462599,38.68436774,30.63063206,33.51417476,38.15002463,21.30559029,0,7.323000045,8.345758807,24.74644462,43.58797594,2.626395236,6.00835516,22.42423606,0,3.232936561,12.92480171,21.60916899,22.89456486,7.061929736,6.273762736,4.393219032
MGG_00049,0,79.03070377,57.60488389,109.5021247,117.9535861,155.7737781,188.3495558,42.63945012,532.4738474,75.63840223,85.38138182,76.07235196,57.17016552,12.9179648,22.7551832,92.77667149,0,79.50623753,62.29941654,68.32608776,77.88669124,29.17673514,24.68607773,28.25676503
MGG_00050,0,10.72708279,13.32510748,6.206440922,18.31058639,10.46132234,4.327295835,5.096137222,0,5.079659214,6.175044525,6.437090569,8.441725034,3.42281457,8.613339618,6.404899441,0,11.21276519,8.367702012,9.992918541,9.484488037,1.74171223,5.802462832,5.938508493
