gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_00005,0,5.027894254,9.033371978,16.79210552,12.74469253,5.67074389,5.208934463,7.422996308
MGG_00010,0,0,0,0,0,0,0,0
MGG_00013,0,0,0,0,0,0,0,0
MGG_00015,0,6.396836939,24.11247399,15.23804126,13.8221118,26.79054876,35.62410868,28.61567816
MGG_00016,0,2.327613032,7.88057099,7.079985304,45.09473763,53.05664303,43.13541796,50.3699086
MGG_00017,0,0,10.42359843,9.664381201,0.878636169,8.310858365,13.07379854,8.178525572
MGG_00018,0,0,0,0,0,0.636178287,3.636144815,2.831328522
MGG_00019,0,0,0,0,0,0,3.870432403,4.46862145
MGG_00020,0,0,0,0,0,0,0.167192622,0
MGG_00021,0,0.290027918,9.870624955,35.90231711,7.779439917,1.315093673,2.658176122,1.264547251
MGG_00022,0,0,0,0,0.088453026,0.027944992,0.055138915,0
MGG_00023,0,0,0,0,0,0,0,0
MGG_00024,0,0,0,0,0,0,0,0.142729535
MGG_00026,0,0,2.166104832,2.823423539,1.340989208,0.211546365,0,0.4819672
MGG_00031,0,0,0,0,0.84354066,0.325817911,1.674745755,2.332996508
MGG_00032,0,4.022418867,1.978284416,5.812121881,5.603604152,4.342285115,4.329166417,2.57177482
MGG_00033,0,0,0,0,0.596186035,0.156333294,0.078040451,0.126110846
MGG_00035,0,0,0,0,0,0,0,0
MGG_00039,0,3.809374586,8.800509672,7.699297473,58.73797156,21.60969528,17.61058557,16.78243923
MGG_00040,0,5.332025967,39.72181532,26.10926097,69.34591054,133.1502246,132.9598023,126.3864681
MGG_00041,0,20.44162904,15.94252885,37.45977558,49.0525158,30.91908132,24.82647166,26.68428505
MGG_00042,0,0,0,0.548047668,23.26172702,17.76029265,21.45570482,11.60740917
MGG_00043,0,0,0,312.4347612,19.03325865,2.918618154,3.999234498,2.006402891
MGG_00045,0,2.520670863,6.701910055,17.19222743,174.9719147,99.38534764,91.41070134,87.18979932
MGG_00046,0,0.697287094,0,0.557526121,20.42938818,8.817704338,10.24248388,7.995602438
MGG_00047,0,2290.947338,110.9205396,770.4639532,1746.896087,480.7939588,610.7238218,921.9380344
MGG_00048,0,4.273011753,10.4983955,28.34666045,32.37105762,14.40083324,16.81071418,16.04101513
MGG_00049,177.4912825,78.05844784,68.42856075,84.63352147,84.33681429,65.95615935,78.59693891,54.55762888
MGG_00050,0,9.006502398,9.289284672,7.545483344,12.07893315,5.20861638,6.247699428,5.813181719
MGG_00052,0,95.4434311,174.7150765,82.31038979,71.40723959,50.47798959,65.63564298,58.05050742
MGG_00053,114.972643,54.99874909,65.27374813,57.86669037,60.97244091,36.73271868,32.30379402,31.90860905
MGG_00054,0,11.89944568,17.39993733,12.00198544,13.0501949,4.925294383,4.732934447,2.87196216
MGG_00056,0,17.9596093,13.72645308,17.8890556,13.3005794,9.041572991,9.275225216,6.664247377
MGG_00057,0,18.06128694,13.07775189,8.338449846,4.12519739,8.063057647,12.16628611,6.826706333
MGG_00058,0,26.69585148,22.34414552,16.97543111,21.09592836,33.19744491,32.26482808,20.58101943
MGG_00059,0,0.224676232,7.432389346,4.349428189,0.593356542,0.709312984,0.547842149,0.926420938
MGG_00061,0,9.584126102,7.442315086,8.593845372,3.831220071,6.466728221,6.534507796,6.514485408
MGG_00062,216.8601851,138.8804116,59.76744206,56.97639693,54.623221,42.02303882,40.73905291,34.51683689
MGG_00063,56.71607737,150.6752036,54.83824953,46.27867008,51.72046539,45.62522023,49.14227987,56.29898695
MGG_00065,0,53.41558843,87.06072084,107.0775556,152.9352997,102.2936012,83.70848256,67.66695789
MGG_00066,0,1.290279109,0.411035488,0,0.825917531,1.573762306,1.431614439,1.520390229
MGG_00067,0,151.5267298,49.57541316,68.70605125,84.59919095,73.67636821,80.01661917,71.31441133
MGG_00068,0,12.87351868,6.707643272,7.565269665,13.4818181,17.09279722,12.37354467,19.91604533
MGG_00070,0,1.48109894,2.346468992,4.125947362,12.84087264,14.42661649,15.755712,35.17179574
MGG_00071,0,0.624328276,1.322297275,0,1.337566443,9.324294173,13.70296776,13.85143609
MGG_00072,197.421069,1.479838638,341.4082242,191.4581579,0,0,0.262529542,0.240545904
MGG_00073,92.50192503,25.37561883,25.89084129,25.55169761,20.21482616,22.62480318,19.67740193,18.3885408
MGG_00074,0,5.740730922,5.218031527,3.992420303,1.192769537,3.366513005,2.952406508,2.890029631
MGG_00075,0,46.38214789,48.66184177,53.02161271,31.1513603,44.88523792,42.81684684,25.76843999
MGG_00076,153.5153653,74.23726548,36.32482911,47.19935731,24.95916056,19.8781936,20.45226815,15.65046025
MGG_00077,0,169.7702662,22.03281653,16.4427062,5.904745928,3.911739067,3.560193627,2.203921589
MGG_00078,0,25.25534932,2.396075465,4.856255095,1.356297311,2.461449928,2.937746304,1.473670026
MGG_00079,0,0.188765291,0.310122584,0.514978002,4.728210186,10.19531418,8.552153159,15.62429541
MGG_00079,0,0.211459983,0.347407704,0.576892282,5.296668894,11.42106661,9.580353207,17.50275817
MGG_00080,0,8.848123583,7.161727544,18.88735767,74.2440997,274.7425587,129.53986,181.8821312
