Gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_03806,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.537890834,-0.100343332,-2.18066384,-0.100343332
MGG_17027,-0.100343332,-0.100343332,-0.100343332,9.491307088,-0.100343332,-0.100343332,-0.100343332,-0.100343332
MGG_17587,-0.100343332,-0.100343332,-0.100343332,9.491307088,-0.100343332,-0.100343332,-0.100343332,-0.100343332
MGG_17544,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-1.650815667,-0.100343332,-0.804093631
MGG_17431,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.100343332,7.831370056,-0.100343332
MGG_15703,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.470486925,-1.650815667,-0.100343332,-0.457946475
MGG_17902,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-1.227086062,-1.137835664,-0.100343332
MGG_15708,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-1.227086062,-1.205677738,-0.100343332
MGG_17799,-0.100343332,-0.100343332,-0.100343332,4.070927275,-0.100343332,-0.100343332,-0.100343332,-0.100343332
MGG_17463,-0.100343332,-0.100343332,-0.100343332,-0.100343332,-0.465040266,-0.623609602,-0.302268256,-1.227106989
MGG_10781,-0.100343332,-0.100343332,-0.100343332,2.807879772,-0.100343332,-0.100343332,-0.100343332,-0.100343332
MGG_15106,-0.100343332,-0.100343332,-0.100343332,-1.555856669,-1.755417603,-0.100343332,-0.100343332,-0.100343332
MGG_15746,-0.100343332,-0.715652481,-0.100343332,-0.100343332,-2.221827338,-0.445784506,-0.100343332,-0.100343332
MGG_07558,-0.100343332,-0.100343332,-0.100343332,-0.100343332,13.39345722,-0.100343332,-0.577061891,-0.100343332
MGG_16529,-0.100343332,-0.715652481,-0.100343332,-1.555856669,-0.537890834,-0.100343332,-0.302268256,-0.100343332
MGG_16345,-0.100343332,-0.100343332,22.32037957,-0.100343332,-0.99972127,-0.100343332,-0.100343332,-0.100343332
