,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48
MGG_00005,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,4,12,5,6,1,1
MGG_00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,52,9,15
MGG_00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,12,3,86,21,38
MGG_00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,10
MGG_00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0
MGG_00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2
MGG_00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
MGG_00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MGG_00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1
MGG_00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,1,1
MGG_00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,24,10,51,21,19
MGG_00040,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,10,7,177,172,115
MGG_00041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0,30,29,12,29,23,10
MGG_00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,11,0,4
MGG_00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,16,2,8,1,3
MGG_00045,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,31,28,9,146,30,69
MGG_00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,29,2,4
MGG_00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43,13,49,57,60
MGG_00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,25,29,3,31,17,7
MGG_00049,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,25,31,9,125,52,28
MGG_00050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,0,49,20,14
MGG_00052,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,18,33,5,84,31,4
MGG_00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,29,59,3,295,142,34
MGG_00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,26,20,7,10,3,8
MGG_00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,16,4,0
MGG_00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,1,1
MGG_00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,3,3,24,4,4
MGG_00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
MGG_00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
MGG_00062,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,31,42,7,122,41,32
MGG_00063,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,10,0,43,76,20,549,319,150
MGG_00065,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,11,0,33,35,19,354,118,92
MGG_00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
MGG_00067,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,25,32,7,225,185,94
MGG_00068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,11,1,49,29,16
MGG_00070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,209,80,26
MGG_00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
MGG_00072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,6,12,3,92,35,24
MGG_00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0
MGG_00075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,11,29,5,63,23,17
MGG_00076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,1,51,23,21
MGG_00077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,1,3
MGG_00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
MGG_00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,4,5
MGG_00080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,71,30,67,23,17
MGG_00081,0,0,0,0,1,1,0,0,0,0,0,0,0,4,3,7,57,8,160,271,48,2339,1533,983
MGG_00082,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,6,4
MGG_00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,12,2,16,9,1
MGG_00084,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,2,0,15,10,8
MGG_00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,2,41,17,25
MGG_00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
MGG_00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,39,102,10,354,173,48
MGG_00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,6,2
MGG_00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,5,30,1,9
MGG_00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,56,37,6,285,467,238
MGG_00099,0,0,0,0,0,0,1,0,0,0,0,1,3,6,0,2,7,0,136,81,3,1226,1680,753
MGG_00100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,2,13,12,1
MGG_00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,3,96,64,37
MGG_00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,1,43,31,13
MGG_00103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,16,26,12,130,54,22
MGG_00104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,33,28,9,112,57,33
MGG_00105,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,16,27,4,86,27,9
MGG_00106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,26,30,10,122,64,28
MGG_00109,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,1,6,0,20,55,13,134,40,18
MGG_00110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,8,7,77,27,3
MGG_00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,34,2,109,37,19
MGG_00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,56,10,6
MGG_00116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,2,2
MGG_00117,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,16,31,5,124,48,15
MGG_00118,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,9,2,40,35,9,139,47,32
MGG_00119,0,0,1,0,1,1,0,0,0,0,0,1,4,0,0,5,4,1,50,112,23,1224,597,281
MGG_00120,0,0,0,0,0,0,1,4,0,0,0,2,0,1,0,3,2,0,30,75,11,54,27,23
MGG_00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,14,3,43,7,6
