genes,hub_gene,cluster,counts in effectors in cluster,t0,t8,t16,t24,t48,t72,t96,t144,kown_effectors,names of plots
MGG_15972,MGG_09693,12,8,821.6666597,2.592518589,0,512.4536642,747.6696548,48.40058893,55.53726759,56.73313605,avr-pik,MGG_09693_8
MGG_15370,MGG_07624,6,11,0,0,0,60.94899868,161.1211213,5.415558677,8.698811446,7.733978159,avr-pita,MGG_07624_11
MGG_10020,MGG_09605,11,10,0,0,0,1143.314153,59.40479717,7.61624767,53.65167313,34.58717035,bas107,MGG_09605_10
MGG_09379,MGG_09379,10,15,0,0,1.519810677,402.9698501,678.4458383,43.77529311,94.06721357,93.91619189,bas162,MGG_09379_15
MGG_07749,MGG_17824,23,38,0,15.67019682,0,1.585840062,19.16985706,19.90569381,25.53650324,6.633796512,bas2,MGG_17824_38
MGG_09693,MGG_09693,12,8,729.6571117,16.35902359,25.85836299,640.9688513,639.1478345,103.6300422,169.6797103,144.5623344,bas2,MGG_09693_8
MGG_16415,MGG_04579,2,26,0,0.850227069,0,9.442652997,1.684049273,1.337044947,1.081708859,0,bas3,MGG_04579_26
MGG_02154,MGG_07900,7,15,0,0,4.130528403,15.78711614,442.5985003,71.60311235,72.08966759,63.67424534,bas4,MGG_07900_15
MGG_10914,MGG_09605,11,10,0,0,2.18596146,1265.623265,610.5739883,56.12759755,82.23907425,96.87076733,bas4,MGG_09605_10
MGG_09378,MGG_09378,9,11,836.3830773,3.862263541,10.04889746,145.4205505,96.34399222,39.55379543,35.90683471,41.92832648,bas52,MGG_09378_11
MGG_16353,MGG_09605,11,10,0,3.4534504,141.7258839,691.1169819,324.9900736,182.4442902,251.0947544,152.1523809,Mep1,MGG_09605_10
MGG_16811,MGG_09379,10,15,0,0,0,971.5979042,1209.282288,92.02625062,93.80593211,213.3253953,Mep10,MGG_09379_15
MGG_10276,MGG_09379,10,15,0,0,1.570782668,401.8732743,455.8321402,29.05798607,51.16471814,50.80681646,Mep12,MGG_09379_15
MGG_00230,MGG_09693,12,8,0,0,1.906693422,1294.227093,1127.401151,125.126825,147.8140418,126.0122635,Mep2,MGG_09693_8
MGG_17249,MGG_09379,10,15,0,0,2.766641325,322.4555314,534.6807454,31.61506089,51.68874195,80.33813546,Mep3,MGG_09379_15
MGG_17301,MGG_09379,10,15,0,0,0,770.7012689,633.6609173,51.90628456,53.87535779,92.88522094,Mep4,MGG_09379_15
MGG_15371,MGG_16789,16,12,0,0,0,183.8514872,117.1264023,5.707735095,4.7473758,10.4991748,Mep5,MGG_16789_12
MGG_08355,MGG_07900,7,15,0,0,0,21.99401651,247.662195,109.4991018,94.76260146,100.9190763,Mep6,MGG_07900_15
MGG_16570,MGG_09379,10,15,0,0,0,393.7075764,647.9518382,26.08849503,47.3436643,67.61088578,Mep7,MGG_09379_15
MGG_16379,MGG_09605,11,10,0,26.49978087,19.81366725,587.2171118,60.58958763,18.91267585,18.80589153,18.66525068,Mep8,MGG_09605_10
MGG_07624,MGG_07624,6,11,0,0,0,44.90941976,156.4217799,26.49509181,18.84288814,17.0115517,Mep9,MGG_07624_11
MGG_10532,MGG_11292,14,21,0,2.665330799,68.30863119,85.17680762,25.87578439,18.44300306,21.3729008,12.8352674,pcd,MGG_11292_21
MGG_04301,MGG_17191,20,87,0,0,0,2.558391861,2.025586907,0,0.693256365,0,pwl2,MGG_17191_87
MGG_13863,MGG_04579,2,26,0,0,0,9.101234301,7.410015587,0.78034952,0.248973222,0.560139938,pwl2,MGG_04579_26
MGG_10097,MGG_18062,24,9,0,0,0,109.0604513,99.21774669,30.08501104,9.292548993,23.66639272,slp1,MGG_18062_9
MGG_03468,MGG_17077,19,13,0,0.364599153,89.01788005,182.1042218,34.67699094,17.23522784,26.70774972,19.00043404,slp2,MGG_17077_13
MGG_00043,MGG_17303,21,8,0,0,0,312.4347612,19.03325865,2.918618154,3.999234498,2.006402891,,MGG_17303_8
MGG_00052,MGG_06004,5,14,0,95.4434311,174.7150765,82.31038979,71.40723959,50.47798959,65.63564298,58.05050742,,MGG_06004_14
MGG_00148,MGG_17191,20,87,0,0,1.932886308,2.86559966,5.289715717,2.337441077,0.73343258,0,,MGG_17191_87
MGG_00225,MGG_12715,15,30,0,0,0,0,6.41044381,82.40689609,101.3769781,56.85172282,,MGG_12715_30
MGG_00245,MGG_08210,8,14,0,99.45136583,42.75774592,71.91836506,88.94250901,7.752834732,12.89621614,16.17085299,,MGG_08210_14
MGG_00269,MGG_17191,20,87,0,0,1.181186192,0,1.080799871,3.391871918,0.763517881,0,,MGG_17191_87
MGG_00283,MGG_07900,7,15,0,0.947533589,0,9.621258672,193.2436134,396.9415322,343.8688249,200.9639543,,MGG_07900_15
MGG_00380,MGG_04579,2,26,0,3.719798545,0,7.389242792,12.84603939,0,0.330734751,0.534456665,,MGG_04579_26
MGG_00486,MGG_17191,20,87,0,1.795471661,3.433666215,1.88571947,3.711679459,7.970543758,3.308983139,1.604625789,,MGG_17191_87
MGG_00488,MGG_08210,8,14,0,51.41179537,55.76995566,58.26081429,87.19886177,60.8201308,40.01437241,46.14726439,,MGG_08210_14
MGG_00511,MGG_01879,1,28,0,0.983936248,20.95894952,11.43467237,1.714006814,2.528584802,0.676147473,0.573498399,,MGG_01879_28
MGG_00565,MGG_17824,23,38,0,4.549238291,0,0,5.932680653,9.158855053,11.53632871,0.935469373,,MGG_17824_38
MGG_00614,MGG_17303,21,8,0,0,6.121427025,430.3819739,148.5244118,23.68403691,20.58766368,20.72067791,,MGG_17303_8
MGG_00619,MGG_17824,23,38,0,16.79762278,11.49335757,11.70990249,0.330770884,7.140043018,26.50125601,11.93812135,,MGG_17824_38
MGG_00627,MGG_11292,14,21,0,1.495852519,0.792035931,95.64020294,33.58908168,2.149114079,6.152798941,7.315277079,,MGG_11292_21
MGG_00629,MGG_17191,20,87,0,2.018765751,1.65831559,4.162220868,0.666430008,0.747396365,1.284196232,0,,MGG_17191_87
MGG_00734,MGG_04734,3,27,0,2.758954254,8.159743529,59.76459337,7.580238107,10.03494295,14.61788735,8.96136688,,MGG_04734_27
MGG_00815,MGG_17824,23,38,0,7.294688278,3.749598384,1.685395019,3.382424306,20.61874526,34.46100559,5.1575966,,MGG_17824_38
MGG_00816,MGG_17191,20,87,0,5.015089659,1.127935506,4.735477123,3.946039687,7.072393717,3.713632088,0.641144546,,MGG_17191_87
MGG_00916,MGG_16939,17,9,0,0.883210016,9.542990214,182.3508686,296.5120516,11.83513842,14.60791811,13.75458637,,MGG_16939_9
MGG_01145,MGG_17077,19,13,0,15.54575673,30.91611796,225.067261,7.149563786,9.258976448,8.759958643,25.6773872,,MGG_17077_13
MGG_01195,MGG_12715,15,30,0,4.879854856,0.800566147,1.359915408,52.09272811,29.42486957,34.18101125,57.57538186,,MGG_12715_30
MGG_01328,MGG_09378,9,11,985.9973927,50.18102672,47.77808131,40.52050691,4.998898419,6.508239307,8.768383951,8.920177808,,MGG_09378_11
MGG_01358,MGG_17191,20,87,0,5.293808863,1.315584613,3.708019463,0.293632282,1.031445689,0.164827547,0.519830431,,MGG_17191_87
MGG_01367,MGG_06004,5,14,574.5868152,649.5005083,352.636059,165.5173279,222.5548679,525.4409059,488.4412527,201.8559136,,MGG_06004_14
MGG_01411,MGG_17191,20,87,0,0.942090684,0,2.570154582,0,0.69756994,0,2.321549747,,MGG_17191_87
MGG_01455,MGG_04579,2,26,0,0,1.018701274,5.549299767,1.17767392,0.18818732,0.968046507,0.845409278,,MGG_04579_26
MGG_01530,MGG_17191,20,87,0,0,0,1.153189524,15.0937381,1.820833832,2.464526974,1.376439609,,MGG_17191_87
MGG_01557,MGG_06004,5,14,210.667918,259.3126559,265.3697195,254.0907345,253.7689745,330.2034716,287.258057,261.421313,,MGG_06004_14
MGG_01851,MGG_17191,20,87,0,0,0,0,0.495796927,4.494975518,1.534058959,3.375037194,,MGG_17191_87
MGG_01879,MGG_01879,1,28,0,0,1.814760457,16.95495612,6.759791003,0.919171807,1.224877486,1.287666216,,MGG_01879_28
