gene,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_00005,0,0.000987167,0.009871668,0.017769003,0.014807502,0.010858835,0.005923001,0.001974334,0,0,0.001974334,0.003948667,0.019743337,0.007897335,0.009871668,0.012833169,0,0.003948667,0,0.001974334,0.009871668,0.0029615,0.006910168,0.000987167
MGG_00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00015,0,0.004541326,0.009082652,0,0.023614896,0.0417802,0.008174387,0.012715713,0,0.002724796,0.003633061,0.002724796,0.005449591,0.008174387,0.08719346,0.013623978,0,0.00181653,0.014532243,0.010899183,0.017257039,0.037238874,0.144414169,0.0626703
MGG_00016,0,0.001150748,0.006904488,0,0.062140391,0.060989643,0.012082854,0.014959724,0,0.000575374,0,0.001726122,0.028193326,0.006904488,0.092635213,0.022439586,0,0.001150748,0.003452244,0.004602992,0.059838895,0.097813579,0.176639816,0.129459148
MGG_00017,0,0,0.001728608,0,0.002304811,0.001440507,0.000288101,0.003745318,0,0,0.002304811,0.000576203,0.000576203,0.005762028,0.03053875,0.001728608,0,0,0.006914434,0.00806684,0.000288101,0.020167099,0.063382311,0.021895707
MGG_00018,0,0,0,0,0,0.001198562,0,0,0,0,0,0,0,0,0.008389932,0.000399521,0,0,0,0,0,0.000799041,0.017978426,0.010787056
MGG_00019,0,0,0,0,0,0,0.002028398,0,0,0,0,0,0,0,0.006085193,0,0,0,0,0,0,0,0.014198783,0.018255578
MGG_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001103753,0
MGG_00021,0,0.000707714,0.004246285,0.021231423,0.014154282,0.00353857,0.002830856,0.001415428,0,0,0.001415428,0.010615711,0.009200283,0,0.004953999,0.000707714,0,0,0.005661713,0.010615711,0.004246285,0.000707714,0.004246285,0.000707714
MGG_00022,0,0,0,0,0,0,8.19471E-05,0,0,0,0,0,0.000327788,0,0,0,0,0,0,0,0,8.19471E-05,8.19471E-05,0
MGG_00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058309
MGG_00026,0,0,0.001240695,0.003722084,0.00248139,0,0,0.000620347,0,0,0.000620347,0.000620347,0.00248139,0,0,0,0,0,0.000620347,0,0,0.000620347,0,0.000620347
MGG_00031,0,0,0,0,0.002260739,0,0.00037679,0.003014318,0,0,0,0,0.00037679,0.001883949,0.004144687,0.00075358,0,0,0,0,0.00037679,0,0.006782216,0.001507159
MGG_00032,0,0.00244858,0.002938296,0.004407444,0.007345739,0.011263467,0.005876592,0.001958864,0,0.001469148,0,0.002938296,0.005876592,0.00244858,0.006856024,0.00244858,0,0.001469148,0,0,0.005876592,0.001469148,0.003428012,0.001469148
MGG_00033,0,0,0,0,0.001545595,0.000515198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515198,0,0.000515198,0.000515198
MGG_00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00039,0,0.001665002,0.001998002,0.004995005,0.102564103,0.046620047,0.02031302,0.009324009,0,0.001332001,0.003330003,0.001332001,0.057276057,0.01032301,0.037629038,0.013653014,0,0.001665002,0.003663004,0.002997003,0.044955045,0.016650017,0.019314019,0.021645022
MGG_00040,0,0.006889764,0.00492126,0.003937008,0.05675853,0.012795276,0.010826772,0.035761155,0,0.001968504,0.006233596,0.006889764,0.063976378,0.248031496,0.443897638,0.028543307,0,0.000656168,0.030839895,0.014435696,0.106299213,0.25328084,0.521653543,0.382874016
MGG_00041,0,0.016,0.016727273,0.034181818,0.077818182,0.058909091,0.024,0.005818182,0,0.008,0.002181818,0.010909091,0.045090909,0.009454545,0.062545455,0.022545455,0,0.005818182,0.002181818,0.005090909,0.045818182,0.033454545,0.036363636,0.052363636
MGG_00042,0,0,0,0,0.067647059,0.050490196,0.034313725,0.014705882,0,0,0,0,0.008333333,0.006372549,0.019117647,0.004901961,0,0,0,0.000490196,0.007843137,0.003921569,0.009803922,0.005882353
MGG_00043,0,0,0,0.321721311,0.014344262,0.006147541,0.004098361,0,0,0,0,0.071721311,0.043032787,0.00204918,0,0,0,0,0,0.043032787,0.010245902,0.00204918,0.012295082,0.008196721
MGG_00045,0,0.003038194,0.004774306,0.015625,0.435329861,0.264756944,0.111111111,0.055989583,0,0.000868056,0.000868056,0.003472222,0.120225694,0.041666667,0.133680556,0.060763889,0,0.000434028,0.002604167,0.00390625,0.071614583,0.034722222,0.125,0.115885417
MGG_00046,0,0.000989772,0,0.000329924,0.056746948,0.023094688,0.010887496,0.007258331,0,0.000329924,0,0,0.008248103,0.003959089,0.030023095,0.00560871,0,0,0,0.000329924,0.008248103,0.003299241,0.008578027,0.005938634
MGG_00047,0,1.83877551,0.073469388,0.816326531,2.873469388,0.991836735,0.659183673,0.12244898,0,0.463265306,0.008163265,0.083673469,2.63877551,0.540816327,1.587755102,1.726530612,0,0.963265306,0.055102041,0.187755102,0.744897959,0.253061224,0.62244898,0.130612245
MGG_00048,0,0.001840773,0.005062126,0.022549471,0.037735849,0.036815462,0.024390244,0.013345605,0,0.00276116,0.002300966,0.007363092,0.053842614,0.005062126,0.018407731,0.015646572,0,0.000920387,0.004601933,0.006442706,0.022089277,0.006902899,0.013805798,0.005982513
MGG_00049,0,0.064282481,0.028519692,0.063829787,0.145314622,0.171118153,0.120416478,0.026708918,0.000452694,0.028519692,0.023540063,0.022634676,0.07062019,0.024898144,0.069714803,0.064735174,0,0.022634676,0.022181983,0.020371209,0.075147125,0.028519692,0.054323223,0.03847895
MGG_00050,0,0.008725261,0.006597148,0.003617791,0.022557991,0.011491807,0.002766546,0.003192169,0,0.001915301,0.00170249,0.001915301,0.010427751,0.006597148,0.026388593,0.004469036,0,0.003192169,0.002979357,0.002979357,0.009150883,0.00170249,0.012768674,0.008086827
MGG_00052,0,0.071216617,0.068249258,0.010385757,0.03264095,0.047477745,0.048961424,0.034124629,0,0.041543027,0.034124629,0.029673591,0.135014837,0.164688427,0.118694362,0.035608309,0,0.025222552,0.09347181,0.038575668,0.075667656,0.022255193,0.179525223,0.09347181
