gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_00043,-0.150514998,-0.150514998,-0.150514998,0.120664271,0.235227232,0.64506969,0.499169681,0.988353316
MGG_00052,-0.150514998,0.152051359,0.134247237,0.157154179,0.1623851,0.176745011,0.165655413,0.170663455
MGG_00081,0.104252283,0.121508716,0.082452982,0.083417891,0.090144138,0.081989632,0.087733154,0.093639251
MGG_00148,-0.150514998,-0.150514998,1.043621847,0.65622704,0.415642286,0.812288993,-2.337944331,-0.150514998
MGG_00225,-0.150514998,-0.150514998,-0.150514998,-0.150514998,0.372762536,0.157112444,0.150066137,0.171544656
MGG_00230,0.109212233,-0.150514998,1.065394337,0.096731573,0.098631021,0.143526332,0.138739799,0.143317092
MGG_00245,-0.150514998,0.150691728,0.18455458,0.162114258,0.154441028,0.33822822,0.271003137,0.248990607
MGG_00259,-0.150514998,0.122104427,0.153103973,0.195998209,0.177535616,0.192617644,0.312184387,0.258888671
MGG_00269,-0.150514998,-0.150514998,3.961981841,-0.150514998,7.975344398,0.566146001,-2.699103027,-0.150514998
MGG_00283,-0.150514998,-15.9731653,-0.150514998,0.306023364,0.131676811,0.115837016,0.118683706,0.13070418
MGG_00380,-0.150514998,0.52656585,-0.150514998,0.346335023,0.271416503,-0.150514998,-0.643799342,-1.140106723
MGG_00486,-0.150514998,1.173191483,0.5605553,1.083722448,0.527439011,0.333724119,0.577787102,1.446759594
MGG_00488,-0.150514998,0.175922907,0.172364019,0.17051166,0.155125273,0.168727556,0.187870803,0.180881354
MGG_00511,-0.150514998,-113.9630239,0.227780954,0.284365236,1.272644357,0.744034081,-1.840233137,-1.286671095
MGG_00565,-0.150514998,0.456872845,-0.150514998,-0.150514998,0.388936491,0.312818528,0.283337304,-12.36134132
MGG_00614,-0.150514998,-0.150514998,0.382230431,0.114292149,0.138606797,0.218988391,0.229126107,0.228639608
MGG_00619,-0.150514998,0.24563725,0.283769805,0.281619644,-0.643862756,0.352366787,0.211482076,0.27943015
MGG_00627,-0.150514998,1.693249322,-3.142073,0.151982703,0.197225048,0.900544357,0.381157738,0.348082357
MGG_00629,-0.150514998,0.979813591,1.354293784,0.48524479,-1.773089155,-2.494514577,2.687764673,-0.150514998
MGG_00703,-0.150514998,4.216823804,0.340247944,0.135531867,0.089125964,0.114878055,0.115913575,0.119511581
MGG_00734,-0.150514998,0.68057711,0.330001333,0.169449579,0.341980289,0.300444887,0.258354572,0.315923045
MGG_00815,-0.150514998,0.348575043,0.523401667,1.312988224,0.567434924,0.22901196,0.195797731,0.42203113
MGG_00816,-0.150514998,0.429341298,5.364266028,0.445126349,0.504017803,0.354077927,0.527228579,-1.615638722
MGG_00916,-0.150514998,-6.137655359,0.307129798,0.133144226,0.121773081,0.280408701,0.258420239,0.264348202
MGG_00992,0.140753475,0.211288208,0.201592563,0.155766652,0.088623585,0.106187645,0.111261192,0.119232976
MGG_01064,0.085264586,0.095678307,0.096080691,0.094047411,0.099234323,0.099708004,0.101829472,0.102122804
MGG_01145,-0.150514998,0.252565008,0.201989441,0.1279709,0.352128585,0.311292764,0.319226701,0.213538866
MGG_01173,0.102982003,0.399181902,0.408813533,0.442027073,0.146779197,0.076055675,0.075490431,0.083166985
MGG_01195,-0.150514998,0.436720958,-3.300349945,2.202222083,0.175337485,0.204940949,0.196249854,0.171009431
MGG_01328,0.100548445,0.177011278,0.179257121,0.187233088,0.430201273,0.369756531,0.31908559,0.31658705
MGG_01358,-0.150514998,0.415449955,2.459245619,0.527834196,-0.581529605,17.06845662,-0.397456979,-1.09122965
MGG_01367,0.109094009,0.107029608,0.118174295,0.135668172,0.12823666,0.110651145,0.111956121,0.130595128
MGG_01411,-0.150514998,-14.11849043,-0.150514998,0.731284152,-0.150514998,-2.003785808,-0.150514998,0.818806872
MGG_01455,-0.150514998,-0.150514998,24.49533677,0.404056211,4.030002668,-0.428253891,-31.22557904,-4.438265595
MGG_01530,-0.150514998,-0.150514998,-0.150514998,4.585343257,0.255308258,1.14613068,0.765021522,2.121409197
MGG_01557,0.129552217,0.12470998,0.124194069,0.125168089,0.125196735,0.119513506,0.122455171,0.124528533
MGG_01851,-0.150514998,-0.150514998,-0.150514998,-0.150514998,-1.016911417,0.460507082,1.595588919,0.568449349
MGG_01879,-0.150514998,-0.150514998,1.152462638,0.24482886,0.362435543,-9.435500924,3.2854974,2.660145105
MGG_01953,-0.150514998,-0.150514998,-2.389918212,0.135559374,0.149871346,0.261797206,0.268868858,0.26658494
MGG_01963,-0.150514998,0.512473107,0.256272761,0.202901841,0.296896345,0.39584324,0.42957093,0.278442824
MGG_01964,-0.150514998,-0.150514998,0.73553106,0.106047577,0.118780894,0.439022514,0.304518473,0.307958643
MGG_01974,-0.150514998,0.222498997,0.275318272,0.235467083,0.164323929,0.210667373,0.210120272,0.259501251
MGG_01993,-0.150514998,0.330300618,-0.150514998,-0.150514998,-1.179067787,0.176443365,0.197971721,1.011692902
MGG_02073,-0.150514998,-0.150514998,-0.150514998,0.166930494,0.19089918,0.2663013,0.257368812,0.219840877
MGG_02090,0.113587985,-0.150514998,0.34456741,0.162585662,0.310191395,-1.17322045,1.348818738,0.243406552
MGG_02106,-0.150514998,1.046832817,0.277479234,-14.11619373,0.354545525,0.275040968,0.328745279,0.314129827
MGG_02139,-0.150514998,-0.150514998,-0.150514998,-0.150514998,-2.117842727,0.61347812,0.402646525,40.34288642
MGG_02154,-0.150514998,-0.150514998,0.487848929,0.251155989,0.113767101,0.162280973,0.162024117,0.166865108
MGG_02166,-0.150514998,-0.150514998,-0.150514998,0.143669053,0.171567516,0.440931973,0.518389207,0.270952885
MGG_02202,-0.150514998,-0.150514998,-0.150514998,0.205030129,0.624636269,-0.59352366,1.77958166,0.760581069
