Gene stable ID,Transcript stable ID,Transcript start (bp),Transcript end (bp),length
MGG_07573,MGG_07573T0,1075846,1080215,4369
MGG_05134,MGG_05134T0,4715749,4717860,2111
MGG_03309,MGG_03309T0,2316056,2317168,1112
MGG_07008,MGG_07008T0,3563058,3565910,2852
MGG_16787,MGG_16787T0,3172367,3172872,505
MGG_04858,MGG_04858T0,3746340,3749695,3355
MGG_12006,MGG_12006T0,3529643,3531202,1559
MGG_02444,MGG_02444T0,1894214,1900586,6372
MGG_17251,MGG_17251T0,5021917,5022346,429
MGG_10811,MGG_10811T0,7482162,7483739,1577
MGG_15612,MGG_15612T0,2201155,2205905,4750
MGG_00349,MGG_00349T0,3168888,3170365,1477
MGG_16619,MGG_16619T0,492919,493266,347
MGG_04614,MGG_04614T0,1091517,1092719,1202
MGG_16874,MGG_16874T0,4660127,4660587,460
MGG_07147,MGG_07147T0,6543778,6547078,3300
MGG_00076,MGG_00076T0,4205127,4207681,2554
MGG_12797,MGG_12797T0,3282732,3284336,1604
MGG_11099,MGG_11099T0,16991,18580,1589
MGG_07363,MGG_07363T0,7393234,7394165,931
MGG_17953,MGG_17953T0,1302449,1307164,4715
MGG_14898,MGG_14898T0,1498484,1499087,603
MGG_14463,MGG_14463T0,5446035,5447532,1497
MGG_08330,MGG_08330T0,7804650,7806195,1545
MGG_09307,MGG_09307T0,4170671,4173367,2696
MGG_03918,MGG_03918T0,2582803,2585272,2469
MGG_00421,MGG_00421T0,2942014,2943068,1054
MGG_02463,MGG_02463T0,1961754,1963124,1370
MGG_00675,MGG_00675T0,2045887,2048867,2980
MGG_15190,MGG_15190T0,348400,348994,594
MGG_02777,MGG_02777T0,1544931,1546540,1609
MGG_05980,MGG_05980T0,2178041,2179478,1437
MGG_00454,MGG_00454T0,2839300,2844291,4991
MGG_05454,MGG_05454T0,5270187,5272232,2045
MGG_16029,MGG_16029T0,480116,480367,251
MGG_07528,MGG_07528T0,929118,930723,1605
MGG_15909,MGG_15909T0,7378744,7379239,495
MGG_16156,MGG_16156T0,2434092,2434722,630
MGG_05339,MGG_05339T0,4865847,4867095,1248
MGG_18122,MGG_18122T0,289736,291519,1783
MGG_16935,MGG_16935T0,5870828,5872817,1989
MGG_08406,MGG_08406T0,7540300,7540947,647
MGG_05005,MGG_05005T0,4274641,4277151,2510
MGG_11608,MGG_11608T0,3404247,3406595,2348
MGG_14221,MGG_14221T0,87500,89406,1906
MGG_15428,MGG_15428T0,4071086,4072857,1771
MGG_17084,MGG_17084T0,1676474,1679652,3178
MGG_08114,MGG_08114T0,5736005,5739346,3341
MGG_06700,MGG_06700T0,2444578,2448685,4107
MGG_14591,MGG_14591T0,1280546,1282469,1923
MGG_07304,MGG_07304T0,7160727,7160984,257
MGG_09457,MGG_09457T0,3610654,3612008,1354
MGG_07009,MGG_07009T0,3565961,3567283,1322
MGG_15010,MGG_15010T0,1604720,1605275,555
MGG_11663,MGG_11663T0,4097283,4098604,1321
MGG_00065,MGG_00065T0,4243278,4246376,3098
MGG_16776,MGG_16776T0,3080924,3081341,417
MGG_10601,MGG_10601T0,2737319,2739594,2275
MGG_11526,MGG_11526T0,2059155,2060233,1078
MGG_13087,MGG_13087T0,5420152,5420478,326
MGG_00223,MGG_00223T0,3607572,3609388,1816
MGG_02093,MGG_02093T0,540341,542140,1799
MGG_01153,MGG_01153T0,321950,323539,1589
MGG_02698,MGG_02698T0,1842482,1844350,1868
MGG_10893,MGG_10893T0,6613906,6615688,1782
MGG_14635,MGG_14635T0,355380,356890,1510
MGG_17720,MGG_17720T0,2441525,2442097,572
MGG_17976,MGG_17976T0,1654216,1658445,4229
MGG_05211,MGG_05211T0,4974243,4978802,4559
MGG_05253,MGG_05253T0,5160926,5162740,1814
MGG_07261,MGG_07261T0,6986448,6989395,2947
MGG_01043,MGG_01043T0,701769,705122,3353
MGG_04395,MGG_04395T0,7485198,7490369,5171
MGG_00786,MGG_00786T1,1622311,1624307,1996
MGG_00786,MGG_00786T0,1622311,1624307,1996
MGG_06579,MGG_06579T0,3208059,3209033,974
MGG_15326,MGG_15326T0,4850158,4851190,1032
MGG_17770,MGG_17770T0,3223211,3223704,493
MGG_03684,MGG_03684T0,1026869,1029416,2547
MGG_16981,MGG_16981T0,6520382,6523121,2739
MGG_17657,MGG_17657T0,1358303,1359002,699
MGG_11239,MGG_11239T0,2957672,2960491,2819
MGG_08136,MGG_08136T0,5821887,5824140,2253
MGG_09718,MGG_09718T0,5396900,5398469,1569
MGG_05720,MGG_05720T0,6238920,6241587,2667
MGG_10455,MGG_10455T0,297353,298198,845
MGG_08158,MGG_08158T0,5893574,5895694,2120
MGG_01319,MGG_01319T0,3088537,3090307,1770
MGG_07686,MGG_07686T0,1520100,1520994,894
MGG_04518,MGG_04518T0,885198,887606,2408
MGG_10595,MGG_10595T0,2771577,2774676,3099
MGG_07332,MGG_07332T0,7285801,7288874,3073
MGG_00246,MGG_00246T0,3533872,3535545,1673
MGG_14140,MGG_14140T0,138765,140148,1383
MGG_03888,MGG_03888T0,2704875,2706909,2034
MGG_17017,MGG_17017T0,283061,283937,876
MGG_17237,MGG_17237T0,4816401,4816978,577
MGG_09185,MGG_09185T0,3653426,3657204,3778
MGG_04634,MGG_04634T0,7033571,7036181,2610
MGG_15422,MGG_15422T0,3877701,3879306,1605
MGG_12303,MGG_12303T0,5901498,5901797,299
MGG_05067,MGG_05067T0,4474494,4476360,1866
MGG_04724,MGG_04724T0,1324343,1328665,4322
MGG_10534,MGG_10534T0,4768606,4770757,2151
MGG_06375,MGG_06375T0,3970495,3972592,2097
MGG_09428,MGG_09428T0,3319317,3320665,1348
MGG_02702,MGG_02702T0,1810517,1811215,698
MGG_05491,MGG_05491T0,5401860,5405288,3428
MGG_08646,MGG_08646T0,7663037,7666951,3914
MGG_17328,MGG_17328T0,796011,796473,462
MGG_03350,MGG_03350T0,2180376,2181319,943
MGG_03315,MGG_03315T0,2293647,2295049,1402
MGG_06267,MGG_06267T0,4350320,4351757,1437
MGG_04557,MGG_04557T0,7218762,7219722,960
MGG_16385,MGG_16385T0,5476748,5477390,642
MGG_16360,MGG_16360T0,5231961,5232726,765
MGG_09467,MGG_09467T0,3580925,3582095,1170
MGG_01722,MGG_01722T0,4573389,4576097,2708
MGG_01117,MGG_01117T0,467156,469730,2574
MGG_09164,MGG_09164T0,20630,23489,2859
MGG_06775,MGG_06775T0,2690101,2692299,2198
MGG_06052,MGG_06052T0,2398224,2402131,3907
MGG_10152,MGG_10152T0,1620090,1623270,3180
MGG_03456,MGG_03456T0,1802359,1803981,1622
MGG_05718,MGG_05718T0,6232141,6234862,2721
MGG_05128,MGG_05128T0,4686372,4689207,2835
MGG_15417,MGG_15417T0,7818504,7818932,428
MGG_03816,MGG_03816T0,2950498,2952109,1611
MGG_07298,MGG_07298T0,7144748,7146317,1569
MGG_00543,MGG_00543T0,2519993,2522482,2489
MGG_08957,MGG_08957T0,2273031,2273411,380
MGG_04194,MGG_04194T0,1635455,1637705,2250
MGG_17907,MGG_17907T0,839541,840382,841
MGG_07785,MGG_07785T0,5754664,5756904,2240
MGG_02191,MGG_02191T0,904081,905420,1339
MGG_17222,MGG_17222T0,4615884,4617794,1910
MGG_04173,MGG_04173T0,1715885,1717785,1900
MGG_03668,MGG_03668T0,1078109,1082827,4718
MGG_09126,MGG_09126T0,109743,110958,1215
MGG_00070,MGG_00070T0,4230327,4232501,2174
MGG_10418,MGG_10418T0,1005752,1006078,326
MGG_08016,MGG_08016T0,5425986,5428490,2504
MGG_16393,MGG_16393T0,5514810,5516883,2073
MGG_05627,MGG_05627T0,5895747,5896832,1085
MGG_13629,MGG_13629T0,5095273,5098958,3685
MGG_11144,MGG_11144T0,4776928,4779257,2329
MGG_17499,MGG_17499T0,3606469,3607507,1038
MGG_15485,MGG_15485T0,8317916,8319389,1473
MGG_11917,MGG_11917T0,1698011,1703246,5235
MGG_09963,MGG_09963T0,5136317,5138517,2200
MGG_16222,MGG_16222T0,3345679,3346831,1152
MGG_08008,MGG_08008T0,5404224,5405452,1228
MGG_03498,MGG_03498T0,1681297,1683219,1922
MGG_01616,MGG_01616T0,4200679,4203251,2572
MGG_02631,MGG_02631T0,2124788,2126933,2145
MGG_15799,MGG_15799T0,5342301,5342621,320
MGG_03644,MGG_03644T0,1150109,1151494,1385
MGG_13801,MGG_13801T0,7159074,7162652,3578
MGG_09761,MGG_09761T0,5281157,5282277,1120
MGG_01404,MGG_01404T0,3413601,3415096,1495
MGG_17587,MGG_17587T0,509291,509671,380
MGG_09497,MGG_09497T0,3487285,3489727,2442
MGG_04022,MGG_04022T0,2206080,2207332,1252
MGG_16750,MGG_16750T0,2409262,2410790,1528
MGG_10785,MGG_10785T0,212786,213921,1135
MGG_18035,MGG_18035T0,2480650,2481139,489
MGG_10195,MGG_10195T0,1717641,1720702,3061
MGG_07437,MGG_07437T0,631333,635927,4594
MGG_12863,MGG_12863T0,4249827,4251665,1838
MGG_10268,MGG_10268T0,238606,240750,2144
MGG_09535,MGG_09535T0,3346860,3348614,1754
MGG_02863,MGG_02863T0,1243711,1244982,1271
MGG_01190,MGG_01190T0,2569342,2570840,1498
MGG_04905,MGG_04905T0,3903028,3905788,2760
MGG_07087,MGG_07087T0,6314246,6317667,3421
MGG_03894,MGG_03894T0,2672384,2675403,3019
MGG_07428,MGG_07428T0,598953,600444,1491
MGG_07406,MGG_07406T0,493685,496073,2388
MGG_05693,MGG_05693T0,6139567,6142495,2928
MGG_02907,MGG_02907T0,1072857,1073610,753
MGG_04340,MGG_04340T0,1106703,1109437,2734
MGG_06914,MGG_06914T0,3231848,3233780,1932
MGG_15502,MGG_15502T0,163284,163685,401
MGG_09523,MGG_09523T0,3379444,3392192,12748
MGG_05368,MGG_05368T0,4976766,4978804,2038
MGG_14006,MGG_14006T0,783465,783763,298
MGG_09004,MGG_09004T0,2726237,2728277,2040
MGG_07804,MGG_07804T0,5817806,5818258,452
MGG_04431,MGG_04431T0,783870,787885,4015
MGG_13813,MGG_13813T0,7338613,7339890,1277
MGG_02848,MGG_02848T0,1289779,1290029,250
MGG_10597,MGG_10597T0,2750829,2752200,1371
MGG_00560,MGG_00560T0,2483430,2486162,2732
MGG_15427,MGG_15427T0,4069222,4070234,1012
MGG_05797,MGG_05797T0,3005965,3007992,2027
MGG_15226,MGG_15226T0,2887568,2890552,2984
MGG_06178,MGG_06178T0,2839267,2841239,1972
MGG_17161,MGG_17161T0,3196544,3198041,1497
MGG_01870,MGG_01870T0,5166312,5167914,1602
MGG_02919,MGG_02919T0,1029843,1031216,1373
MGG_07382,MGG_07382T0,389208,392775,3567
MGG_07959,MGG_07959T0,6388106,6388948,842
MGG_16791,MGG_16791T0,3267315,3268583,1268
MGG_16945,MGG_16945T0,5948526,5949351,825
MGG_04108,MGG_04108T0,1934766,1938579,3813
MGG_03468,MGG_03468T0,1762511,1763635,1124
MGG_09944,MGG_09944T0,4435792,4438845,3053
MGG_01584,MGG_01584T0,4095433,4097480,2047
MGG_17597,MGG_17597T0,693804,694086,282
MGG_06639,MGG_06639T0,2235567,2238180,2613
MGG_10118,MGG_10118T0,4578681,4583075,4394
MGG_05957,MGG_05957T0,2111860,2113178,1318
MGG_02348,MGG_02348T0,1491590,1495633,4043
MGG_17403,MGG_17403T0,2205267,2205932,665
MGG_13447,MGG_13447T0,1439444,1442373,2929
MGG_08170,MGG_08170T0,5934640,5937385,2745
MGG_03259,MGG_03259T0,2503628,2503978,350
MGG_03130,MGG_03130T0,2971139,2974586,3447
MGG_00456,MGG_00456T0,2829801,2835553,5752
MGG_05172,MGG_05172T0,4836911,4838469,1558
MGG_01494,MGG_01494T0,3772591,3775131,2540
MGG_09551,MGG_09551T0,3304310,3308913,4603
MGG_16479,MGG_16479T0,6606045,6606851,806
MGG_10709,MGG_10709T0,3754014,3755956,1942
MGG_10973,MGG_10973T0,290906,291859,953
MGG_07136,MGG_07136T0,6498520,6501715,3195
MGG_02581,MGG_02581T0,2304849,2305391,542
MGG_10648,MGG_10648T0,4530873,4533285,2412
MGG_03928,MGG_03928T0,2533318,2534593,1275
MGG_17703,MGG_17703T0,2137418,2138906,1488
MGG_10035,MGG_10035T0,4858313,4860138,1825
MGG_01338,MGG_01338T0,3157473,3161316,3843
MGG_01127,MGG_01127T0,412665,416357,3692
MGG_17405,MGG_17405T0,2227187,2227455,268
MGG_10857,MGG_10857T0,6502815,6508012,5197
MGG_01467,MGG_01467T0,3647485,3650938,3453
MGG_08305,MGG_08305T0,7930324,7932065,1741
MGG_12590,MGG_12590T0,1429719,1433723,4004
MGG_16108,MGG_16108T0,1598772,1599379,607
MGG_06948,MGG_06948T0,3341803,3343267,1464
MGG_15554,MGG_15554T0,1219396,1221978,2582
MGG_06184,MGG_06184T0,2857328,2859272,1944
MGG_09903,MGG_09903T0,4283360,4284920,1560
MGG_16677,MGG_16677T0,1353360,1353822,462
MGG_07643,MGG_07643T0,1307547,1308798,1251
MGG_13771,MGG_13771T0,6884480,6885240,760
MGG_13806,MGG_13806T0,7211802,7214415,2613
MGG_04576,MGG_04576T0,1023252,1025116,1864
MGG_14375,MGG_14375T0,528666,529618,952
MGG_09173,MGG_09173T0,3617838,3619404,1566
MGG_09425,MGG_09425T0,3325865,3326335,470
MGG_05915,MGG_05915T0,1928038,1929182,1144
MGG_05807,MGG_05807T0,3039721,3041648,1927
MGG_07095,MGG_07095T0,6340439,6343217,2778
MGG_00166,MGG_00166T0,3883740,3884843,1103
MGG_13473,MGG_13473T0,924816,925154,338
MGG_05891,MGG_05891T1,1849042,1852015,2973
MGG_05891,MGG_05891T0,1848693,1852172,3479
MGG_02295,MGG_02295T0,1291239,1292700,1461
MGG_16446,MGG_16446T0,6177164,6178501,1337
MGG_16614,MGG_16614T0,466545,467007,462
MGG_15534,MGG_15534T0,707571,709684,2113
MGG_06678,MGG_06678T0,2362559,2365510,2951
MGG_00281,MGG_00281T0,3433484,3434173,689
MGG_15781,MGG_15781T0,5016418,5016930,512
MGG_08631,MGG_08631T0,7620606,7621854,1248
MGG_16471,MGG_16471T0,6486067,6487293,1226
MGG_13559,MGG_13559T0,1910018,1910707,689
MGG_16238,MGG_16238T0,3550578,3550995,417
MGG_13467,MGG_13467T0,845734,848679,2945
MGG_01523,MGG_01523T0,3896688,3899787,3099
MGG_16909,MGG_16909T0,5516405,5516658,253
MGG_01398,MGG_01398T0,3400558,3402894,2336
MGG_04972,MGG_04972T0,4122001,4123335,1334
MGG_02900,MGG_02900T0,1093927,1097528,3601
MGG_03177,MGG_03177T0,2799447,2800723,1276
MGG_08205,MGG_08205T0,6063056,6064796,1740
MGG_00681,MGG_00681T0,2031620,2033762,2142
MGG_16841,MGG_16841T0,4330165,4331212,1047
MGG_10453,MGG_10453T0,289697,291054,1357
MGG_03595,MGG_03595T0,1337665,1341857,4192
MGG_18064,MGG_18064T0,2962306,2963103,797
MGG_08019,MGG_08019T1,5435492,5437711,2219
MGG_08019,MGG_08019T0,5435492,5437711,2219
MGG_09290,MGG_09290T0,4117743,4119143,1400
MGG_06510,MGG_06510T0,3478517,3479987,1470
MGG_04449,MGG_04449T0,834225,837677,3452
MGG_03866,MGG_03866T0,2784675,2785500,825
