"","Gene","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","Transcript.stable.ID","Transcript.start..bp.","Transcript.end..bp.","length"
"1","MGG_00005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"MGG_00005T0",4469273,4470286,1013
"2","MGG_00010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00010T0",4453288,4455595,2307
"3","MGG_00013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00013T0",4444362,4445167,805
"4","MGG_00015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_00015T0",4431948,4433049,1101
"5","MGG_00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,"MGG_00016T0",4429065,4430803,1738
"6","MGG_00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00017T0",4422734,4426205,3471
"7","MGG_00018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00018T0",4420313,4422816,2503
"8","MGG_00019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00019T0",4418626,4419119,493
"9","MGG_00020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00020T0",4415242,4417054,1812
"10","MGG_00021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"MGG_00021T0",4412695,4414108,1413
"11","MGG_00022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00022T0",4400230,4412433,12203
"12","MGG_00023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00023T0",4397287,4399096,1809
"13","MGG_00024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00024T0",4392625,4394340,1715
"14","MGG_00026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00026T0",4387985,4389597,1612
"15","MGG_00031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"MGG_00031T0",4370158,4372812,2654
"16","MGG_00032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"MGG_00032T0",4359511,4361553,2042
